# timestamp,b1m1_solar_inv:VA_Out.real, b1m1_solar_inv:VA_Out.imag
2009-08-08 00:00:00 PDT,0,0
2009-08-08 00:30:00 PDT,0,0
2009-08-08 01:00:00 PDT,0,0
2009-08-08 01:30:00 PDT,0,0
2009-08-08 02:00:00 PDT,0,0
2009-08-08 02:30:00 PDT,0,0
2009-08-08 03:00:00 PDT,0,0
2009-08-08 03:30:00 PDT,8.91818,0
2009-08-08 04:00:00 PDT,17.458,0
2009-08-08 04:30:00 PDT,52.8059,0
2009-08-08 05:00:00 PDT,91.5067,0
2009-08-08 05:30:00 PDT,161.52,0
2009-08-08 06:00:00 PDT,388.197,0
2009-08-08 06:30:00 PDT,636.748,0
2009-08-08 07:00:00 PDT,902.276,0
2009-08-08 07:30:00 PDT,994.721,0
2009-08-08 08:00:00 PDT,1000,0
2009-08-08 08:30:00 PDT,1000,0
2009-08-08 09:00:00 PDT,1000,0
2009-08-08 09:30:00 PDT,1000,0
2009-08-08 10:00:00 PDT,1000,0
2009-08-08 10:30:00 PDT,1000,0
2009-08-08 11:00:00 PDT,1000,0
2009-08-08 11:30:00 PDT,1000,0
2009-08-08 12:00:00 PDT,1000,0
2009-08-08 12:30:00 PDT,1000,0
2009-08-08 13:00:00 PDT,1000,0
2009-08-08 13:30:00 PDT,1000,0
2009-08-08 14:00:00 PDT,1000,0
2009-08-08 14:30:00 PDT,1000,0
2009-08-08 15:00:00 PDT,1000,0
2009-08-08 15:30:00 PDT,989.64,0
2009-08-08 16:00:00 PDT,792.029,0
2009-08-08 16:30:00 PDT,480.724,0
2009-08-08 17:00:00 PDT,256.635,0
2009-08-08 17:30:00 PDT,106.556,0
2009-08-08 18:00:00 PDT,54.1322,0
2009-08-08 18:30:00 PDT,31.2895,0
2009-08-08 19:00:00 PDT,7.10165,0
2009-08-08 19:30:00 PDT,3.66502,0
2009-08-08 20:00:00 PDT,0,0
2009-08-08 20:30:00 PDT,0,0
2009-08-08 21:00:00 PDT,0,0
2009-08-08 21:30:00 PDT,0,0
2009-08-08 22:00:00 PDT,0,0
2009-08-08 22:30:00 PDT,0,0
2009-08-08 23:00:00 PDT,0,0
2009-08-08 23:30:00 PDT,0,0
